N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한국조선해양,"83,000","2,600",-3.04%,"5,000","58,742","70,773",19.87,"317,034",-4.55,-7.42,
60,한온시스템,"10,800",500,-4.42%,100,"57,650","533,800",17.50,"1,226,530",19.71,5.09,
61,에스디바이오센서,"55,200",500,-0.90%,500,"57,006","103,271",7.27,"854,230",8.37,139.97,
62,LG유플러스,"13,050",300,-2.25%,"5,000","56,978","436,611",35.41,"1,003,643",14.52,6.46,
63,SKC,"146,000","3,500",-2.34%,"5,000","55,288","37,868",16.43,"237,584",29.74,2.21,
64,KODEX 200,"36,685",915,-2.43%,0,"54,129","147,550",5.81,"9,023,950",N/A,N/A,
65,맥쿼리인프라,"13,250",500,-3.64%,0,"53,642","404,846",13.61,"3,408,232",N/A,N/A,
66,현대제철,"39,800","1,000",-2.45%,"5,000","53,111","133,446",20.85,"642,201",6.09,-2.59,
67,CJ제일제당,"351,500","15,500",-4.22%,"5,000","52,915","15,054",22.38,"50,449",11.99,13.50,
68,미래에셋증권,"8,230",230,-2.72%,"5,000","52,287","635,316",12.93,"1,482,483",5.63,8.94,
69,강원랜드,"24,250",600,-2.41%,500,"51,881","213,940",19.30,"738,226",-157.47,-7.92,
70,코웨이,"70,100",500,-0.71%,500,"51,734","73,800",60.60,"171,479",11.61,31.51,
71,일진머티리얼즈,"102,500","3,500",-3.30%,500,"47,264","46,111",12.64,"324,210",74.38,7.23,
72,삼성중공업,"5,230",160,-2.97%,"1,000","46,024","880,000",14.12,"3,589,087",-2.13,-33.06,
73,현대건설,"40,350","1,600",-3.81%,"5,000","44,932","111,356",22.56,"762,212",26.83,1.84,
74,금호석유,"147,500","8,500",-5.45%,"5,000","44,686","30,296",19.64,"228,251",2.64,20.18,
75,DB손해보험,"61,600","1,800",-2.84%,500,"43,613","70,800",42.92,"163,628",5.47,9.08,
76,메리츠증권,"6,350",140,-2.16%,"1,000","43,290","681,731",13.06,"2,590,183",6.45,13.08,
77,삼성엔지니어링,"21,800",900,-3.96%,"5,000","42,728","196,000",35.69,"1,325,485",12.06,17.32,
78,한국타이어앤테크놀로지,"34,450","1,700",-4.70%,500,"42,675","123,875",41.23,"324,916",6.46,5.12,
79,유한양행,"57,700","1,300",-2.20%,"1,000","42,255","73,231",17.14,"206,659",43.75,11.06,
80,한국금융지주,"74,300","1,500",-1.98%,"5,000","41,404","55,726",34.55,"207,727",2.54,16.27,
81,오리온,"99,800","2,200",-2.16%,500,"39,457","39,536",37.26,"150,764",16.59,15.50,
82,쌍용C&E,"7,660",110,-1.42%,100,"38,596","503,860",3.34,"825,369",18.73,7.92,
83,두산밥캣,"37,900",650,-1.69%,500,"37,994","100,249",25.15,"168,454",10.37,6.15,
84,현대중공업지주,"47,200","1,400",-2.88%,"1,000","37,285","78,993",16.58,"255,076",-10.94,-8.12,
85,이마트,"132,000","2,500",-1.86%,"5,000","36,796","27,876",33.29,"129,176",2.66,4.05,
86,삼성증권,"40,150","1,100",-2.67%,"5,000","35,854","89,300",29.51,"386,587",3.78,9.89,
87,한진칼,"53,400","1,700",-3.09%,"2,500","35,639","66,739",14.62,"82,594",-60.82,-19.55,
88,현대차2우B,"97,500",700,-0.71%,"5,000","35,573","36,485",62.48,"66,785",4.94,N/A,
89,GS,"37,900",750,-1.94%,"5,000","35,215","92,915",18.76,"231,472",3.44,-2.82,
90,삼성카드,"30,350",500,-1.62%,"5,000","35,163","115,859",7.01,"100,283",7.49,5.69,
91,현대오토에버,"128,000","4,500",-3.40%,500,"35,103","27,424",2.07,"200,041",46.46,11.09,
92,한국항공우주,"34,850",650,-1.83%,"5,000","33,970","97,475",13.50,"1,262,900",237.07,6.39,
93,DB하이텍,"76,500","2,500",-3.16%,"5,000","33,965","44,399",26.25,"1,284,715",15.98,23.07,
94,NH투자증권,"11,300",250,-2.16%,"5,000","33,565","297,034",17.51,"713,668",4.15,10.32,
95,GS건설,"39,050",950,-2.37%,"5,000","33,420","85,581",26.17,"503,565",9.51,7.68,
96,TIGER 차이나전기차SOLACTIVE,"16,255",160,-0.97%,0,"33,037","203,240",0.31,"3,343,815",N/A,N/A,
97,아모레G,"40,050","1,050",-2.55%,500,"33,024","82,458",15.88,"132,010",22.49,0.31,
98,한국가스공사,"35,100",200,-0.57%,"5,000","32,402","92,313",10.21,"424,202",7.29,-2.24,
99,한미사이언스,"45,100","3,000",-6.24%,500,"30,949","68,624",1.03,"94,016",57.16,3.47,
100,KCC,"344,000","12,500",-3.51%,"5,000","30,569","8,886",11.59,"75,436",4.34,12.79,
